type,subnet,specifics,source,Destinations,Environments,Sources,Status
PolicyType.Reachability,100.0.32.0/24,0,zagreb,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},zagreb,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,stockholm,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},stockholm,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,sofia,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},sofia,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,praha,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},praha,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,rotterdam,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},rotterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,athens,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},athens,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,istanbul,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},istanbul,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,vienna,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},vienna,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,basel,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},basel,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,vaduz,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},vaduz,PolicyStatus.HOLDSNOT
PolicyType.Reachability,100.0.32.0/24,0,madrid,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},madrid,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,amsterdam,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},amsterdam,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,budapest,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},budapest,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,milan,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},milan,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,bratislava,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},bratislava,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,strasbourg,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},strasbourg,PolicyStatus.HOLDS
PolicyType.Reachability,100.0.32.0/24,0,roma,{warsaw:FastEthernet0/0 (100.0.32.0/24)},{9},roma,PolicyStatus.HOLDS
